Scale_setup.started,Scale_setup.stopped,participant,expid,session,sex,age,date,expName,psychopyVersion,OS,frameRate,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0004,0.0006,S15,555268,1,Female,26,anonymized,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S15,555268,1,Female,26,anonymized,Serial_Dependence_U,2023.2.3,Win32,120.4819277,0.0021,53.6306,0.0557,0.0534,53.6308,91.0623,91.0624,152.3285,space,61.2396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S15,555268,1,Female,26,anonymized,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,152.3442,0.0,156.4262,s,4.0652,,159.5384,160.04,159.033,159.5382,157.4286,275.0,159.0328,160.0404,160.5394,160.54,163.4548,967.4,163.4551,1.0,164.454,0.0,0.0,0.0,24.0,1.0,1.6,0.3,Time
,,S15,555268,1,Female,26,anonymized,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,164.4556,0.0,164.4572,,,,166.9703,167.4691,166.4617,166.9703,165.4596,318.0,166.4617,167.4693,167.9688,167.9688,171.6247,1269.6,171.6247,4.0,172.6243,0.0,1.0,1.0,26.0,1.0,1.0,0.7,Time
,,S15,555268,1,Female,26,anonymized,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,172.6252,0.0,172.6256,,,,175.162,175.664,174.6509,175.1619,173.6421,113.0,174.6508,175.664,176.1635,176.1636,179.5831,619.5,179.5832,1.0,180.5782,0.0,2.0,2.0,1.0,1.0,1.0,0.3,Time
,,S15,555268,1,Female,26,anonymized,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,180.5793,0.0,180.58,,,,183.4939,183.9929,182.9878,183.4938,181.5799,214.0,182.9878,183.993,184.4925,184.4926,186.3235,988.8,186.3235,2.0,187.3241,0.0,3.0,3.0,23.0,1.0,1.4,0.3,Time
,,S15,555268,1,Female,26,anonymized,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,187.3247,0.0,187.325,,,,189.6421,190.1394,189.1412,189.642,188.3316,49.0,189.1411,190.1394,190.6391,190.6392,192.2572,926.4,192.2573,4.0,193.2545,0.0,4.0,4.0,0.0,1.0,0.8,0.3,Time
,,S15,555268,1,Female,26,anonymized,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,193.2561,0.0,193.2564,,,,196.3766,196.8773,195.8705,196.3765,194.2634,293.0,195.8704,196.8773,197.3766,197.3769,199.0107,1431.3,199.0109,2.0,200.0088,0.0,5.0,5.0,9.0,1.0,1.6,0.7,Time
,,S15,555268,1,Female,26,anonymized,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,200.0092,0.0,200.0097,,,,202.7271,203.2232,202.2236,202.727,201.0174,18.0,202.2235,203.2234,203.7233,203.7233,205.1713,1319.5,205.1714,4.0,206.1718,0.0,6.0,6.0,22.0,1.0,1.2,0.3,Time
,,S15,555268,1,Female,26,anonymized,Serial_Dependence_U,2023.2.3,Win32,120.4819277,,,,,,,,,,,,206.1727,0.0,206.1735,,,,209.0847,209.5863,208.5747,209.0846,207.1736,246.0,208.5746,209.5863,210.0861,210.0861,211.348,1046.7,211.3481,2.0,212.3434,0.0,7.0,7.0,28.0,1.0,1.4,0.7,Time
