Scale_setup.started,Scale_setup.stopped,participant,expid,session,sex,age,date,expName,psychopyVersion,OS,frameRate,screen_scale_keys.started,screen_scale_keys.stopped,X Scale,Y Scale,rectangel_keys.started,rectangel_keys.stopped,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,Block_id,block.stopped,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,M2.started,direction,M2.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0001,0.0002,S01,002046,1,Female,32,anonymized,Serial_Dependence_U,2023.2.3,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S01,002046,1,Female,32,anonymized,Serial_Dependence_U,2023.2.3,MacIntel,62.11180124,0.0009,73.5541,0.0551,0.0548,73.5546,81.7874,81.7877,118.9203,space,37.1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S01,002046,1,Female,32,anonymized,Serial_Dependence_U,2023.2.3,MacIntel,62.11180124,,,,,,,,,,,,118.9278,0.0,124.7525,s,5.7959,,127.1038,127.602,126.5863,127.1036,125.7713,235.0,126.5861,127.6024,128.1032,128.1037,134.1197,9999.0,134.1206,0.0,135.1189,0.0,0.0,0.0,10.0,1.0,0.8,0.3,Time
,,S01,002046,1,Female,32,anonymized,Serial_Dependence_U,2023.2.3,MacIntel,62.11180124,,,,,,,,,,,,135.1198,0.0,135.1221,,,,137.8702,138.3695,137.3535,137.87,136.1361,277.0,137.3534,138.3695,138.8686,138.8687,144.8855,9999.0,144.886,0.0,145.8863,0.0,1.0,1.0,2.0,1.0,1.2,0.3,Time
,,S01,002046,1,Female,32,anonymized,Serial_Dependence_U,2023.2.3,MacIntel,62.11180124,,,,,,,,,,,,145.8869,0.0,145.8873,,,,148.8182,149.3184,148.3033,148.8182,146.8866,30.0,148.3032,149.3184,149.8193,149.8194,155.8355,9999.0,155.8359,0.0,156.835,0.0,2.0,2.0,8.0,1.0,1.4,0.7,Time
,,S01,002046,1,Female,32,anonymized,Serial_Dependence_U,2023.2.3,MacIntel,62.11180124,,,,,,,,,,,,156.8359,0.0,156.8361,,,,159.3873,159.8859,158.869,159.3869,157.8532,185.0,158.8687,159.8859,160.3859,160.3859,166.4019,9999.0,166.4023,0.0,167.4024,0.0,3.0,3.0,21.0,1.0,1.0,0.3,Time
,,S01,002046,1,Female,32,anonymized,Serial_Dependence_U,2023.2.3,MacIntel,62.11180124,,,,,,,,,,,,167.4032,0.0,167.4035,,,,170.5521,171.0524,170.0364,170.5521,168.4197,220.0,170.0362,171.0525,171.5514,171.5515,174.4019,1788.6,174.4021,4.0,175.4016,0.0,4.0,4.0,9.0,1.0,1.6,0.7,Time
,,S01,002046,1,Female,32,anonymized,Serial_Dependence_U,2023.2.3,MacIntel,62.11180124,,,,,,,,,,,,175.4022,0.0,175.4025,,,,177.7362,178.2347,177.2197,177.7361,176.403,322.0,177.2195,178.2348,178.7357,178.7358,184.7527,9999.0,184.753,0.0,185.7523,0.0,5.0,5.0,5.0,1.0,0.8,0.7,Time
,,S01,002046,1,Female,32,anonymized,Serial_Dependence_U,2023.2.3,MacIntel,62.11180124,,,,,,,,,,,,185.7529,0.0,185.7534,,,,188.9028,189.4013,188.3862,188.9026,186.7694,34.0,188.386,189.402,189.9013,189.9014,191.418,1164.4,191.4183,2.0,192.4178,0.0,6.0,6.0,29.0,1.0,1.6,0.7,Time
,,S01,002046,1,Female,32,anonymized,Serial_Dependence_U,2023.2.3,MacIntel,62.11180124,,,,,,,,,,,,192.4185,0.0,192.419,,,,195.3685,195.8677,194.8529,195.3683,193.4361,354.0,194.8528,195.8678,196.3679,196.368,196.4523,7.400000036,196.4526,1.0,197.4511,0.0,7.0,7.0,3.0,1.0,1.4,0.3,Time
